kind,x,y
rendezvous_delta_v,-24,233.568
rendezvous_delta_v,-23.39240506329114,165.8889698298487
rendezvous_delta_v,-22.78481012658228,118.9603749082387
rendezvous_delta_v,-22.17721518987342,86.2879853187045
rendezvous_delta_v,-21.56962025316456,63.4160073063789
rendezvous_delta_v,-20.96202531645569,47.28725037426796
rendezvous_delta_v,-20.35443037974684,35.80412781861106
rendezvous_delta_v,-19.74683544303797,27.52745225997554
rendezvous_delta_v,-19.13924050632911,21.46977449809541
rendezvous_delta_v,-18.53164556962025,16.95359003491787
rendezvous_delta_v,-17.92405063291139,13.51405232972162
rendezvous_delta_v,-17.31645569620253,10.83222282631757
rendezvous_delta_v,-16.70886075949367,8.689272742058158
rendezvous_delta_v,-16.10126582278481,6.935060191662405
rendezvous_delta_v,-15.49367088607595,5.466570455389226
rendezvous_delta_v,-14.88607594936709,4.213123506386185
rendezvous_delta_v,-14.27848101265823,3.126224661481612
rendezvous_delta_v,-13.67088607594937,2.172600952332842
rendezvous_delta_v,-13.06329113924051,1.329423269645294
rendezvous_delta_v,-12.45569620253164,0.5810282008308038
rendezvous_delta_v,-11.84810126582278,-0.08333116897011671
rendezvous_delta_v,-11.24050632911392,-0.6710284678443983
rendezvous_delta_v,-10.63291139240506,-1.1871228585262
rendezvous_delta_v,-10.0253164556962,-1.635085512502471
rendezvous_delta_v,-9.417721518987342,-2.017298055375101
rendezvous_delta_v,-8.81012658227848,-2.33539455809936
rendezvous_delta_v,-8.20253164556962,-2.590496182576065
rendezvous_delta_v,-7.594936708860757,-2.783372175699786
rendezvous_delta_v,-6.987341772151897,-2.914550329919029
rendezvous_delta_v,-6.379746835443036,-2.984392771971864
rendezvous_delta_v,-5.772151898734176,-2.993147962734901
rendezvous_delta_v,-5.164556962025316,-2.940986375141278
rendezvous_delta_v,-4.556962025316455,-2.828024973363904
rendezvous_delta_v,-3.949367088607595,-2.654344008369848
rendezvous_delta_v,-3.341772151898734,-2.419998541615591
rendezvous_delta_v,-2.734177215189874,-2.125026351636394
rendezvous_delta_v,-2.126582278481013,-1.769453358882205
rendezvous_delta_v,-1.518987341772153,-1.353297347783276
rendezvous_delta_v,-0.9113924050632889,-0.8765705205181971
rendezvous_delta_v,-0.3037974683544284,-0.3392812491944996
rendezvous_delta_v,0.303797468354432,0.2585647219525648
rendezvous_delta_v,0.9113924050632924,0.9169634517124282
rendezvous_delta_v,1.518987341772153,1.635912235958252
rendezvous_delta_v,2.126582278481013,2.415409219345882
rendezvous_delta_v,2.734177215189874,3.255453128894383
rendezvous_delta_v,3.341772151898734,4.156043091191423
rendezvous_delta_v,3.949367088607595,5.117178506974995
rendezvous_delta_v,4.556962025316455,6.138858965081976
rendezvous_delta_v,5.164556962025316,7.221084183406845
rendezvous_delta_v,5.77215189873418,8.363853968392554
rendezvous_delta_v,6.37974683544304,9.567168187236541
rendezvous_delta_v,6.9873417721519,10.83102674882088
rendezvous_delta_v,7.594936708860761,12.15542959062812
rendezvous_delta_v,8.202531645569621,13.54037666976405
rendezvous_delta_v,8.810126582278485,14.98586795679828
rendezvous_delta_v,9.417721518987342,16.49190343153813
rendezvous_delta_v,10.02531645569621,18.05848308012913
rendezvous_delta_v,10.63291139240506,19.68560689306545
rendezvous_delta_v,11.24050632911393,21.37327486382505
rendezvous_delta_v,11.84810126582278,23.12148698793299
rendezvous_delta_v,12.45569620253165,24.93024326231903
rendezvous_delta_v,13.0632911392405,26.79954368487652
rendezvous_delta_v,13.67088607594937,28.72938825416017
rendezvous_delta_v,14.27848101265823,30.71977696917824
rendezvous_delta_v,14.88607594936709,32.77070982925036
rendezvous_delta_v,15.49367088607595,34.88218683390969
rendezvous_delta_v,16.10126582278481,37.05420798283588
rendezvous_delta_v,16.70886075949367,39.28677327580921
rendezvous_delta_v,17.31645569620253,41.57988271267886
rendezvous_delta_v,17.9240506329114,43.93353629334141
rendezvous_delta_v,18.53164556962025,46.34773401772583
rendezvous_delta_v,19.13924050632912,48.82247588578348
rendezvous_delta_v,19.74683544303797,51.35776189748087
rendezvous_delta_v,20.35443037974684,53.95359205279515
rendezvous_delta_v,20.96202531645569,56.60996635171053
rendezvous_delta_v,21.56962025316456,59.32688479421624
rendezvous_delta_v,22.17721518987342,62.10434738030489
rendezvous_delta_v,22.78481012658228,64.94235410997135
rendezvous_delta_v,23.39240506329114,67.84090498321221
rendezvous_delta_v,24,70.80000000002498
dro_ephemeris_xy_km,83853.19145487176,5319.600482985953
dro_ephemeris_xy_km,-149.1643200909948,91248.79782057834
dro_ephemeris_xy_km,-62706.06841571654,57270.59650640341
dro_ephemeris_xy_km,-60974.79574581615,-32220.19195397335
dro_ephemeris_xy_km,-9112.250682116313,-69412.1413461534
dro_ephemeris_xy_km,77455.68421215618,-46200.3699844458
dro_ephemeris_xy_km,61802.65587913487,16368.01448303329
dro_ephemeris_xy_km,-20155.82947530566,79876.81021812504
dro_ephemeris_xy_km,-61577.67923197669,59057.5703166762
dro_ephemeris_xy_km,-63866.07581366954,-44554.10057143729
dro_ephemeris_xy_km,20031.51180543789,-92318.9949193784
dro_ephemeris_xy_km,88249.06468192571,-24817.94286567869
dro_ephemeris_xy_km,35541.3091832442,52325.43644466218
dro_ephemeris_xy_km,-26361.14091129673,65439.19610315948
dro_ephemeris_xy_km,-71225.25929860459,31155.5306236688
dro_ephemeris_xy_km,-55897.11177247911,-41429.94711114449
dro_ephemeris_xy_km,51913.01037692445,-91568.92212619058
dro_ephemeris_xy_km,78963.59599379309,-25139.21170759462
dro_ephemeris_xy_km,20700.60449842439,80969.41495277433
dro_ephemeris_xy_km,-33659.29059380964,73594.74488210399
dro_ephemeris_xy_km,-83881.34289594879,-9855.5910596418
dro_ephemeris_xy_km,-29238.66552120541,-57696.84536916688
dro_ephemeris_xy_km,68631.94973869179,-62251.60584961068
dro_ephemeris_xy_km,59201.94856705533,-4508.141938902689
min_periapsis_theta0_deg,350.8860759493671,
min_periapsis_theta1_deg,9.113924050632912,
min_periapsis_radius_km,4641.186324835067,
