figure_id,sample,source_model,fixed_departure_phase,arrival_phase,arrival_offset_hours,time_of_flight_days,total_delta_v_m_s,delta_v_difference_m_s,endpoint_position_error_km,baseline_total_delta_v_m_s,departure_perilune_radius_km,destination_perilune_radius_km,departure_stability_index,destination_stability_index,departure_periodicity_error,destination_periodicity_error,acceptance,threshold,evidence_artifact,boundary,notes
5.12,0,Earth-Moon CR3BP fixed-departure NRHO rendezvous arrival-offset shooting,0.82,0.6415530684949128,-24,23,82.57820705756987,34.84377291447034,5.386758841213808e-09,47.73443414309953,4800.000000000002,12610,1.541669858583182,1.177409613795337,1.335076753202042e-10,4.120213415542434e-11,True,endpoint_position_error_km <= 0.001; |delta_v_difference_m_s| <= 300.0; branch accepted rows >= 35; left coverage <= -20.0 h; right coverage >= 10.0 h,src/qp_orbits/application_scenarios.py;data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv,Accepted local CR3BP fixed-departure rendezvous branch row; not the thesis quasi-NRHO global continuation curve and not a BCR4BP/ephemeris high-fidelity replacement.,Per-sample Fig. 5.12 rendezvous branch row from the current baseline generator.
5.12,1,Earth-Moon CR3BP fixed-departure NRHO rendezvous arrival-offset shooting,0.82,0.646071690640958,-23,23,80.94335490307037,33.20892075997084,4.894236254145043e-09,47.73443414309953,4800.000000000002,12610,1.541669858583182,1.177409613795337,1.335076753202042e-10,4.120213415542434e-11,True,endpoint_position_error_km <= 0.001; |delta_v_difference_m_s| <= 300.0; branch accepted rows >= 35; left coverage <= -20.0 h; right coverage >= 10.0 h,src/qp_orbits/application_scenarios.py;data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv,Accepted local CR3BP fixed-departure rendezvous branch row; not the thesis quasi-NRHO global continuation curve and not a BCR4BP/ephemeris high-fidelity replacement.,Per-sample Fig. 5.12 rendezvous branch row from the current baseline generator.
5.12,2,Earth-Moon CR3BP fixed-departure NRHO rendezvous arrival-offset shooting,0.82,0.6505903127870034,-22,23,79.36052318372511,31.62608904062557,1.484308429590409e-08,47.73443414309953,4800.000000000002,12610,1.541669858583182,1.177409613795337,1.335076753202042e-10,4.120213415542434e-11,True,endpoint_position_error_km <= 0.001; |delta_v_difference_m_s| <= 300.0; branch accepted rows >= 35; left coverage <= -20.0 h; right coverage >= 10.0 h,src/qp_orbits/application_scenarios.py;data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv,Accepted local CR3BP fixed-departure rendezvous branch row; not the thesis quasi-NRHO global continuation curve and not a BCR4BP/ephemeris high-fidelity replacement.,Per-sample Fig. 5.12 rendezvous branch row from the current baseline generator.
5.12,3,Earth-Moon CR3BP fixed-departure NRHO rendezvous arrival-offset shooting,0.82,0.6551089349330487,-21,23,77.82132257412916,30.08688843102962,5.324124105444313e-09,47.73443414309953,4800.000000000002,12610,1.541669858583182,1.177409613795337,1.335076753202042e-10,4.120213415542434e-11,True,endpoint_position_error_km <= 0.001; |delta_v_difference_m_s| <= 300.0; branch accepted rows >= 35; left coverage <= -20.0 h; right coverage >= 10.0 h,src/qp_orbits/application_scenarios.py;data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv,Accepted local CR3BP fixed-departure rendezvous branch row; not the thesis quasi-NRHO global continuation curve and not a BCR4BP/ephemeris high-fidelity replacement.,Per-sample Fig. 5.12 rendezvous branch row from the current baseline generator.
5.12,4,Earth-Moon CR3BP fixed-departure NRHO rendezvous arrival-offset shooting,0.82,0.6596275570790939,-20,23,76.31843448668059,28.58400034358105,2.860624397375446e-08,47.73443414309953,4800.000000000002,12610,1.541669858583182,1.177409613795337,1.335076753202042e-10,4.120213415542434e-11,True,endpoint_position_error_km <= 0.001; |delta_v_difference_m_s| <= 300.0; branch accepted rows >= 35; left coverage <= -20.0 h; right coverage >= 10.0 h,src/qp_orbits/application_scenarios.py;data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv,Accepted local CR3BP fixed-departure rendezvous branch row; not the thesis quasi-NRHO global continuation curve and not a BCR4BP/ephemeris high-fidelity replacement.,Per-sample Fig. 5.12 rendezvous branch row from the current baseline generator.
5.12,5,Earth-Moon CR3BP fixed-departure NRHO rendezvous arrival-offset shooting,0.82,0.6641461792251393,-19,23,74.8454049856322,27.11097084253267,1.863731302948957e-08,47.73443414309953,4800.000000000002,12610,1.541669858583182,1.177409613795337,1.335076753202042e-10,4.120213415542434e-11,True,endpoint_position_error_km <= 0.001; |delta_v_difference_m_s| <= 300.0; branch accepted rows >= 35; left coverage <= -20.0 h; right coverage >= 10.0 h,src/qp_orbits/application_scenarios.py;data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv,Accepted local CR3BP fixed-departure rendezvous branch row; not the thesis quasi-NRHO global continuation curve and not a BCR4BP/ephemeris high-fidelity replacement.,Per-sample Fig. 5.12 rendezvous branch row from the current baseline generator.
5.12,6,Earth-Moon CR3BP fixed-departure NRHO rendezvous arrival-offset shooting,0.82,0.6686648013711846,-18,23,73.39648819722316,25.66205405412363,4.060255565544662e-08,47.73443414309953,4800.000000000002,12610,1.541669858583182,1.177409613795337,1.335076753202042e-10,4.120213415542434e-11,True,endpoint_position_error_km <= 0.001; |delta_v_difference_m_s| <= 300.0; branch accepted rows >= 35; left coverage <= -20.0 h; right coverage >= 10.0 h,src/qp_orbits/application_scenarios.py;data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv,Accepted local CR3BP fixed-departure rendezvous branch row; not the thesis quasi-NRHO global continuation curve and not a BCR4BP/ephemeris high-fidelity replacement.,Per-sample Fig. 5.12 rendezvous branch row from the current baseline generator.
5.12,7,Earth-Moon CR3BP fixed-departure NRHO rendezvous arrival-offset shooting,0.82,0.6731834235172299,-17,23,71.96652690358374,24.23209276048421,1.220105319435316e-08,47.73443414309953,4800.000000000002,12610,1.541669858583182,1.177409613795337,1.335076753202042e-10,4.120213415542434e-11,True,endpoint_position_error_km <= 0.001; |delta_v_difference_m_s| <= 300.0; branch accepted rows >= 35; left coverage <= -20.0 h; right coverage >= 10.0 h,src/qp_orbits/application_scenarios.py;data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv,Accepted local CR3BP fixed-departure rendezvous branch row; not the thesis quasi-NRHO global continuation curve and not a BCR4BP/ephemeris high-fidelity replacement.,Per-sample Fig. 5.12 rendezvous branch row from the current baseline generator.
5.12,8,Earth-Moon CR3BP fixed-departure NRHO rendezvous arrival-offset shooting,0.82,0.6777020456632752,-16,23,70.55086195215972,22.81642780906019,5.443839475590431e-08,47.73443414309953,4800.000000000002,12610,1.541669858583182,1.177409613795337,1.335076753202042e-10,4.120213415542434e-11,True,endpoint_position_error_km <= 0.001; |delta_v_difference_m_s| <= 300.0; branch accepted rows >= 35; left coverage <= -20.0 h; right coverage >= 10.0 h,src/qp_orbits/application_scenarios.py;data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv,Accepted local CR3BP fixed-departure rendezvous branch row; not the thesis quasi-NRHO global continuation curve and not a BCR4BP/ephemeris high-fidelity replacement.,Per-sample Fig. 5.12 rendezvous branch row from the current baseline generator.
5.12,9,Earth-Moon CR3BP fixed-departure NRHO rendezvous arrival-offset shooting,0.82,0.6822206678093204,-15,23,69.14526486430204,21.4108307212025,1.062308027497616e-08,47.73443414309953,4800.000000000002,12610,1.541669858583182,1.177409613795337,1.335076753202042e-10,4.120213415542434e-11,True,endpoint_position_error_km <= 0.001; |delta_v_difference_m_s| <= 300.0; branch accepted rows >= 35; left coverage <= -20.0 h; right coverage >= 10.0 h,src/qp_orbits/application_scenarios.py;data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv,Accepted local CR3BP fixed-departure rendezvous branch row; not the thesis quasi-NRHO global continuation curve and not a BCR4BP/ephemeris high-fidelity replacement.,Per-sample Fig. 5.12 rendezvous branch row from the current baseline generator.
