case_id,variant,member_id,singular_value_rank,singular_value,normalized_value,component_diagnosis,state_component_norm,rho_component_norm,jacobi_residual_sensitivity,phase_residual_sensitivity,interpretation
scaling_unscaled_overdetermined,unscaled_overdetermined,10,1,48.80339654854459,1,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,2,48.80135471107963,0.9999581619803259,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,3,48.77995376044506,0.9995196484311043,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,4,48.7758293539103,0.9994351377858123,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,5,48.73041689912635,0.9985046194613596,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,6,48.72994440934645,0.9984949379675844,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,7,48.66764878583795,0.9972184771489907,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,8,48.65564331339574,0.9969724804911503,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,9,48.59323331087535,0.9956936760034685,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,10,48.55801814151827,0.9949721039030092,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,11,48.51102057487129,0.9940091060387062,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,12,48.44118196249695,0.9925780865336422,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,13,48.42494886771188,0.9922454642996771,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,14,48.33826685362392,0.990469317141523,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,15,48.30976434646951,0.9898852900210733,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,16,48.25329692525943,0.9887282512655041,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,17,48.17129220983561,0.9870479437208797,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,18,48.16897335301968,0.9870004294702347,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,19,48.09239436090063,0.9854312970422719,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,20,48.02415651915616,0.984033077931096,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,21,48.01570331723559,0.9838598686358749,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,22,47.93945156908454,0.9822974415602265,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,23,47.88037969984011,0.981087036682245,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,24,47.86127602839958,0.9806955952500583,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,25,47.7785782307772,0.9790010861898104,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,26,47.74213022243865,0.9782542527536932,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,27,47.68902003028917,0.9771660048876526,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,28,47.61655573513324,0.9756811841521972,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,29,47.58484132979534,0.9750313440266979,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,30,47.49275296656423,0.9731444187357602,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,31,47.47981096938226,0.9728792323328201,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,32,47.3869546036069,0.9709765703801218,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,33,47.36163104838142,0.9704576811835411,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,34,47.28979173100066,0.9689856664783905,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,35,47.22995579933337,0.9677596056732216,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,36,47.20733028252682,0.967296000301328,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,37,47.1324458331104,0.9657615896923876,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,38,47.09422073605235,0.9649783430382324,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,39,47.06356775728035,0.9643502519433531,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,40,46.99789804415709,0.9630046547561177,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,41,46.95426560880575,0.9621106097011195,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,42,46.93264631128886,0.9616676221419362,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,43,46.86541940178571,0.9602901174136275,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,44,46.81450233959491,0.9592468076075129,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,45,46.79453527086891,0.9588376748393429,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,46,46.71927263164878,0.9572955149787017,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,47,46.67958819148348,0.9564823658339319,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,48,46.64002454276538,0.9556716917514684,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,49,46.55834010072751,0.9539979467293034,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,50,46.55429366001926,0.9539150336331991,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,51,46.47683963916714,0.9523279715365049,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
scaling_unscaled_overdetermined,unscaled_overdetermined,10,52,46.44316898334696,0.9516380471008832,,N/A,N/A,N/A,N/A,baseline overdetermined endpoint linearization
